Отметка времени,"Единая учетная запись СПбГУ (например, ST000000)","Выберете интересующие Вас роли, в  IT [Бизнес и системный анализ]","Выберете интересующие Вас роли, в  IT [Дизайн UX / UI и проектирование интерфейсов]","Выберете интересующие Вас роли, в  IT [Анализ и инженерия данных]","Выберете интересующие Вас роли, в  IT [Backend - разработка]","Выберете интересующие Вас роли, в  IT [Frontend - разработка]","Выберете интересующие Вас роли, в  IT [Тестирование и обеспечение качества]","Выберете интересующие Вас роли, в  IT [Развертывание и внедрение]","Выберете интересующие Вас роли, в  IT [Управление командой / проектом]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Разработка веб-сервисов (сайты, сервисы)]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Анализ текстов и поисковые движки]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Анализ изображений / видео]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Анализ временных рядов]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Анализ табличных данных]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Робототехника (оборудование, теория управления, техническое зрение, интерфейсы)]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Gamedev]","Если в предыдущем вопросе для Вас не было интересного направления деятельности, расскажите нам об области, в которой Вы хотите развиваться","Если Вы уже работаете над интересным проектом или успешно завершили - опишите, что это за проект и свою роль в нем (можете добавить ссылку на репозиторий)","Оцените Ваши знания в области IT [Парадигмы программирования (ООП, функциональное, аспектно-ориентированное, и др.)]",Оцените Ваши знания в области IT [Архитектура ПО],Оцените Ваши знания в области IT [Паттерны проектирования],"Оцените Ваши знания в области IT [Протоколы коммуникаций (REST, gRPC, и др.)]",Оцените Ваши знания в области IT [Алгоритмы и структуры данных],Оцените Ваши знания в области IT [Потоки и параллельность],Оцените Ваши знания в области IT [Linux in dev and administration],Оцените Ваши знания в области IT [Windows in dev and administration],Оцените Ваши знания в области IT [Проектирование и оптимизация баз данных],Оцените Ваши знания в области IT [Data Science and Machine Learning],"Какими еще знаниями Вы владеете, релевантными для IT-отрасли и в какой степени? Перечислите их и оцените","Языки программирования (например: C++, Python, Java, etc)","Библиотеки и фреймворки для различных направлений использования (например: Qt, Numpy, Weka, Angular, PyTorch, etc)","Инструменты для проектирования, бизнес и системного анализа (например: BPMN, UML, Archimate, ARIS etc)","Инструменты для разработки ПО - например: VS Code, PyCharm, Git, etc)","Инструменты для тестирования  (например: GTests, Selenium, Gatling, pytest etc)","Инструменты CI / CD (например: Jenkins, Travis CI, Docker, etc)","Инструменты для управления проектами (например: Jira, Trello, MS Project, etc) ","Аналитические навыки [Поиск информации (научные статьи, документация)]",Аналитические навыки [Сбор и анализ требований к ПО],Аналитические навыки [Декомпозиция задач],Аналитические навыки [Планирование своей и чужой деятельности],Аналитические навыки [Тестирование],Аналитические навыки [Ведение документации],SoftSkills [Self management],SoftSkills [Коммуникации],SoftSkills [Работа в команде],SoftSkills [Наставничество],SoftSkills [Управление людьми],Какими еще навыками в области IT Вы обладаете? Оцените данные навыки,Оцените Ваш уровень мотивации [К работе над интересными проектами],Оцените Ваш уровень мотивации [Определить свой путь дальнейшего развития и развиваться в IT],Оцените Ваш уровень мотивации [Устроиться на интересную для себя работу],"Хотите ли Вы общаться с другими студентами и выпускниками, заинтересованными в развитии в области IT на базе СПбГУ на интересующие Вас темы?","Что Вам поможет развиваться быстрее в том направлении деятельности, которое Вы выбрали?"
8/26/2019 11:37:10,ST054461,Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,,"Интересно, хочу изучать информацию","Интересно, хочу изучать информацию","Не знаком с этим, но хочу узнать","Не знаком с этим, но хочу узнать","Не знаком с этим, но хочу узнать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Не знаком с этим, но хочу узнать",,"Интересно, хочу изучать информацию","Интересно, хочу изучать информацию","Не знаком с этим, но хочу узнать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",,,4 - Применял в проекте в команде,4 - Применял в проекте в команде,4 - Применял в проекте в команде,2 - Изучал информацию и частично разобрался,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,0 - Не знаю,0 - Не знаю,0 - Не знаю,,,"C# 4
Javascript 2
C++3
Kotlin 2
Ruby 2
Python 3
",,Uml 2,"Visual Studio 4
Rider 4
Pycharm 2
Android Studio 2
Vs code 3",,,,3 - Искал доп информацию и пытался прокачаться,3 - Искал доп информацию и пытался прокачаться,4 - Постоянно применяю в работе и хорошо знаю теорию,3 - Искал доп информацию и пытался прокачаться,"2 - Пробовал, и частично овладел",3 - Искал доп информацию и пытался прокачаться,,Нормально,Нормально,Ниже среднего,Нормально,,5 - Готов сам стать мотиватором для других,4 - Готов выполнять задания на благо команды,5 - Готов сам стать мотиватором для других,Да,Чётко поставленные задачи 
8/26/2019 11:38:35,ST061177,Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,,"Интересно, хочу изучать информацию","Интересно, хочу изучать информацию",Не интересно,"Не знаком с этим, но хочу узнать","Не знаком с этим, но хочу узнать","Интересно, хочу изучать информацию","Не знаком с этим, но хочу узнать",,"Не знаком с этим, но хочу узнать","Не знаком с этим, но хочу узнать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",Не интересно,,,3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",0 - Не знаю,2 - Изучал информацию и частично разобрался,2 - Изучал информацию и частично разобрался,0 - Не знаю,0 - Не знаю,0 - Не знаю,,,"C++ - 3
Java - 2
Python - 3","Numpy - 2
OpenCV - 2",,"Git - 3
PyCharm - 3
IntelliJ IDEA - 2
VS - 3",,,,"2 - Пробовал, и частично овладел","1 - Слышал, но не применял",0 - Не знаю,"1 - Слышал, но не применял",0 - Не знаю,0 - Не знаю,,Нормально,Нормально,Плохо,Ниже среднего,,"3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес","2 - Хочу что-то делать, но не знаю что и как","2 - Хочу что-то делать, но не знаю что и как",Да,
8/26/2019 11:39:45,ST061362,"Интересно, хочу изучать информацию",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,,Не интересно,Не интересно,"Не знаком с этим, но хочу узнать","Не знаком с этим, но хочу узнать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",Не интересно,,"Интересно, хочу изучать информацию","Интересно, хочу изучать информацию",Не интересно,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",Очень хочу развиваться в сфере дизайна,Стажируюсь разработчиком интерфейсов в Яндекс Видео,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,0 - Не знаю,0 - Не знаю,0 - Не знаю,,,"JS 5
Ruby 3
Python 3 ","React 3
Vue 2  
Webpack 2",Visio 2,"VScode 4
SublimeText2 4
Git 4",Mocha 3,,Trello 4,"2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел",3 - Искал доп информацию и пытался прокачаться,4 - Постоянно применяю в работе и хорошо знаю теорию,"2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел",,Нормально,Нормально,Нормально,Нормально,,"1 - Вроде хочу что-то делать, но лень",5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,Да,"Время для развития навыков
Возможность общаться с людьми из профессии (дизайнерами) 
Более менее стабильные курсы в сфере (Университетские занятия, онлайн курсы, учебники)"
8/26/2019 11:47:58,ST064144,Не интересно,Не интересно,,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,Не интересно,Не интересно,Не интересно,"Не знаком с этим, но хочу узнать",,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Не знаком с этим, но хочу узнать",Не интересно,,,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,2 - Изучал информацию и частично разобрался,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,,Английский язык - B2,"Python - 4
C++ - 2
C# - 2
Kotlin - 2
SQL - 3","Numpy - 4
SciPy  - 4
Pandas - 3
Scikit-learn - 2
Torch - 2
Keras - 2
TensorFlow - 2
Qt - 2",UML - 2,"PyCharm - 4
Git - 4
Jupyter Notebook - 4
Visual Studio - 3",Selenium - 2,"Docker - 2
Microsoft Azure - 2
Jenkins - 1 ",Trello - 3,4 - Постоянно применяю в работе и хорошо знаю теорию,3 - Искал доп информацию и пытался прокачаться,3 - Искал доп информацию и пытался прокачаться,4 - Постоянно применяю в работе и хорошо знаю теорию,"2 - Пробовал, и частично овладел","1 - Слышал, но не применял",,Нормально,Нормально,Плохо,Ниже среднего,,4 - Готов выполнять задания на благо команды,4 - Готов выполнять задания на благо команды,5 - Готов сам стать мотиватором для других,Да,"Коммерческий командный проект, ограниченный временными рамками
Командное соревнование по Data Science"
8/26/2019 11:50:21,ST064731,Не интересно,"Интересно, хочу изучать информацию",,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Не знаком с этим, но хочу узнать",Не интересно,"Интересно, хочу изучать информацию",Не интересно,"Не знаком с этим, но хочу узнать",,Не интересно,Не интересно,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Интересно, хочу изучать информацию",,"проект Олега, я надеюсь, мне не нужно дополнительно что-то описывать))))",3 - Пробовал на практике в простых задачах,0 - Не знаю,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел",0 - Не знаю,0 - Не знаю,0 - Не знаю,,,"C++ - 2
Python - 2
Java - 2
Haskell - 1",Numpy - 2,UML - 1,"VS - 2
PyCharm - 2
Git - 1",,Docker - 1,,"2 - Пробовал, и частично овладел",0 - Не знаю,"2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел",0 - Не знаю,"1 - Слышал, но не применял",,Ниже среднего,Ниже среднего,Плохо,Ниже среднего,,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,4 - Готов выполнять задания на благо команды,Да,"Больше практики и некоторого рода наставник, который будет для меня ""толчком"" для начала движения в нужную сторону"
8/26/2019 12:04:58,ST063772,Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,,"Интересно, хочу изучать информацию","Интересно, хочу изучать информацию","Не знаком с этим, но хочу узнать",Не интересно,Не интересно,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Не знаком с этим, но хочу узнать",,"Интересно, хочу изучать информацию","Интересно, хочу изучать информацию",Не интересно,Не интересно,"Больше всего интересна веб-разработка, а именно фронтенд. Стараюсь разбираться в этом направлении сама и дальше хотела бы развивать именно это направление.
Так же немного интересуюсь машинным обучением, но сама в этой области пока знаю не особо много. ",,4 - Применял в проекте в команде,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",0 - Не знаю,4 - Применял в проекте в команде,"1 - Что-то слышал или читал, но не овладел",0 - Не знаю,"1 - Что-то слышал или читал, но не овладел",0 - Не знаю,,"HTML (HTML5) , CSS (CSS3) - могу делать разметку сайтов, в принципе, стараюсь следить. Знаю синтаксис Go, Clojure (писала проекты по предмету Языки Программирования). ","C++ - 3
Python - 3
Java - 2","Qt - 0
Numpy - 2
Weka - 0
Angular - 1","BPMN - 0
UML - 1
Archimate - 0","VS - 3
PyCharm - 3
Git - 1","GTests - 0
Selenium - 0
Gatling - 0","Jenkins - 0
Travis Cl - 0
Docker - 1","Jira - 0
Trello - 0
MS Project - 0",4 - Постоянно применяю в работе и хорошо знаю теорию,"1 - Слышал, но не применял",3 - Искал доп информацию и пытался прокачаться,"2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел",,Нормально,Нормально,Плохо,Плохо,,4 - Готов выполнять задания на благо команды,4 - Готов выполнять задания на благо команды,5 - Готов сам стать мотиватором для других,Да,Больше практики и изучение дополнительной литературы. 
8/26/2019 12:15:39,ST054366,"Не знаком с этим, но хочу узнать","Интересно, хочу изучать информацию",,"Интересно, хочу изучать информацию","Интересно, хочу изучать информацию","Не знаком с этим, но хочу узнать",Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",Не интересно,,"Не знаком с этим, но хочу узнать","Не знаком с этим, но хочу узнать","Не знаком с этим, но хочу узнать",Не интересно,"В дополнение к вебу - мобильная разработка. 
Хотелось бы уделить больше времени не рутинной реализации, а продумыванию оптимальной архитектуры, удобных интерфейсов и внутрикомандного взаимодействия.","1. Разрабатываю (уже на этапе завершения) мобильное приложение под android по тайм-менеджменту. Роль - всё делаю один.
2. Пишу виджет (виртуальную примерочную) для сайта-магазина по продаже одежды. Роль - тоже делаю один (и логику, и интерфейс), но встраиваю его в уже запущенный сайт, общаясь с разработчиками.",4 - Применял в проекте в команде,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,2 - Изучал информацию и частично разобрался,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,3 - Пробовал на практике в простых задачах,,"Проектирование UI - 4
Дизайн - 4
Построение полного цикла разработки продукта - 4
Презентация продукта - 4","Pascal - 2
Haskell - 2
Erlang - 2
COBOL - 2
C# - 2
C++ - 2
Python - 2
Java - 3
JavaScript - 3
Kotlin - 4","MPAndroidChart - 3
Croller - 3
React - 3
Numpy - 2",,"VS - 3
AndroidStudio - 4
IntelliJIDEA - 3
SublimeText - 3
VSC - 2
WebStrom - 3
Git - 3",,,"Trello - 3
Coggle - 3
MindMeister - 2",3 - Искал доп информацию и пытался прокачаться,3 - Искал доп информацию и пытался прокачаться,5 - Могу обучать других и давать советы,5 - Могу обучать других и давать советы,"2 - Пробовал, и частично овладел","1 - Слышал, но не применял",,Хорошо,Хорошо,Хорошо,Хорошо,,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,"3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес",Да,"Ментор, который сам отлично разбирается в этом направлении, постоянно развивается, открыт к вопросам и готов тратить время на разъяснение каких-то моментов. "
8/26/2019 12:50:16,ST064142,"Не знаком с этим, но хочу узнать",Не интересно,,"Интересно, хочу изучать информацию","Интересно, хочу изучать информацию",Не интересно,Не интересно,Не интересно,Не интересно,"Не знаком с этим, но хочу узнать",,"Интересно, хочу изучать информацию","Интересно, хочу изучать информацию",Не интересно,Не интересно,,,4 - Применял в проекте в команде,"1 - Что-то слышал или читал, но не овладел",0 - Не знаю,0 - Не знаю,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,0 - Не знаю,0 - Не знаю,0 - Не знаю,,,"C++ - 3
Python - 2
C# - 1
Scala - 2","Qt - 1
Numpy - 1",,"VS - 3
Git - 1
PyCharm - 1
Intellij - 2",,,Trello - 1,"2 - Пробовал, и частично овладел",0 - Не знаю,"2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел","1 - Слышал, но не применял",0 - Не знаю,,Нормально,Нормально,Плохо,Плохо,,4 - Готов выполнять задания на благо команды,4 - Готов выполнять задания на благо команды,5 - Готов сам стать мотиватором для других,Да,Интересный проект
8/26/2019 13:49:37,ST061752,"Не знаком с этим, но хочу узнать","Интересно, хочу изучать информацию",,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, хочу изучать информацию","Не знаком с этим, но хочу узнать","Не знаком с этим, но хочу узнать","Не знаком с этим, но хочу узнать",Не интересно,,"Интересно, хочу изучать информацию","Интересно, хочу изучать информацию","Не знаком с этим, но хочу узнать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",,,3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,0 - Не знаю,0 - Не знаю,"1 - Что-то слышал или читал, но не овладел",,,"С++ - 3
C# - 3
Python - 2",,,"VS - 3
Git - 2",,,,5 - Могу обучать других и давать советы,"1 - Слышал, но не применял",0 - Не знаю,"1 - Слышал, но не применял",3 - Искал доп информацию и пытался прокачаться,"1 - Слышал, но не применял",,Нормально,Нормально,Плохо,Плохо,,"3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес",4 - Готов выполнять задания на благо команды,4 - Готов выполнять задания на благо команды,Да,Неочевидные в решении и интересные идеи для практики
8/26/2019 14:23:43,ST064140,Не интересно,Не интересно,,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, хочу изучать информацию",Не интересно,"Не знаком с этим, но хочу узнать","Не знаком с этим, но хочу узнать","Интересно, хочу изучать информацию",,"Интересно, хочу изучать информацию","Интересно, хочу изучать информацию","Не знаком с этим, но хочу узнать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",,,4 - Применял в проекте в команде,"1 - Что-то слышал или читал, но не овладел",0 - Не знаю,"1 - Что-то слышал или читал, но не овладел",3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,0 - Не знаю,0 - Не знаю,2 - Изучал информацию и частично разобрался,,,"C++ - 3
Python - 1
Java - 3
C# - 3
Kotlin - 2
COBOL - 2
Ada - 2
Pascal - 2
F# - 0
Hascell - 0",,,"VS - 3
Android Studio - 3
Git - 3
IntelliJ Idea - 2
CLion - 1
PyCharm - 1
Eclipse - 1",,,,4 - Постоянно применяю в работе и хорошо знаю теорию,"1 - Слышал, но не применял","2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел",4 - Постоянно применяю в работе и хорошо знаю теорию,"1 - Слышал, но не применял",,Нормально,Нормально,Нормально,Хорошо,,"3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес",5 - Готов сам стать мотиватором для других,4 - Готов выполнять задания на благо команды,Да,
8/26/2019 16:14:43,ST064730,"Не знаком с этим, но хочу узнать","Интересно, хочу изучать информацию",,"Интересно, хочу изучать информацию","Интересно, хочу изучать информацию","Интересно, хочу изучать информацию","Интересно, хочу изучать информацию",Не интересно,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",Не интересно,,"Интересно, хочу изучать информацию","Интересно, хочу изучать информацию","Не знаком с этим, но хочу узнать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",,,2 - Изучал информацию и частично разобрался,"1 - Что-то слышал или читал, но не овладел",0 - Не знаю,0 - Не знаю,"1 - Что-то слышал или читал, но не овладел",3 - Пробовал на практике в простых задачах,0 - Не знаю,0 - Не знаю,0 - Не знаю,,,"С++ - 4
Java - 3",,,,,,,3 - Искал доп информацию и пытался прокачаться,0 - Не знаю,"2 - Пробовал, и частично овладел","1 - Слышал, но не применял",3 - Искал доп информацию и пытался прокачаться,"2 - Пробовал, и частично овладел",,Хорошо,Хорошо,Плохо,Плохо,,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,Да,
8/26/2019 18:08:04,ST063768,"Интересно, хочу изучать информацию",Не интересно,,"Интересно, хочу изучать информацию","Интересно, хочу изучать информацию","Не знаком с этим, но хочу узнать",Не интересно,Не интересно,Не интересно,"Интересно, хочу изучать информацию",,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",,,4 - Применял в проекте в команде,"1 - Что-то слышал или читал, но не овладел",0 - Не знаю,0 - Не знаю,3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел",0 - Не знаю,0 - Не знаю,"1 - Что-то слышал или читал, но не овладел",,,"C++ - 2
Python - 3",Numpy - 2,,"PyCharm - 2
VisualStudio - 2
Git - 1",,,,4 - Постоянно применяю в работе и хорошо знаю теорию,"2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел","1 - Слышал, но не применял",0 - Не знаю,0 - Не знаю,,Ниже среднего,Ниже среднего,Плохо,Плохо,,"3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес","2 - Хочу что-то делать, но не знаю что и как","2 - Хочу что-то делать, но не знаю что и как",Да,
8/26/2019 18:15:58,ST063111,Не интересно,"Не знаком с этим, но хочу узнать",,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, хочу изучать информацию",Не интересно,"Не знаком с этим, но хочу узнать","Интересно, хочу изучать информацию",Не интересно,,"Не знаком с этим, но хочу узнать","Не знаком с этим, но хочу узнать",Не интересно,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",,,3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",0 - Не знаю,2 - Изучал информацию и частично разобрался,"1 - Что-то слышал или читал, но не овладел",0 - Не знаю,"1 - Что-то слышал или читал, но не овладел",0 - Не знаю,,,"C++ - 2
C# - 3
Python - 2
Java - 2","Qt - 1
Numpy - 1",,"VS - 3
Git - 2",,,Trello - 2,"2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел",3 - Искал доп информацию и пытался прокачаться,3 - Искал доп информацию и пытался прокачаться,"2 - Пробовал, и частично овладел",,Ниже среднего,Ниже среднего,Плохо,Плохо,,4 - Готов выполнять задания на благо команды,"2 - Хочу что-то делать, но не знаю что и как","3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес",Да,
8/26/2019 19:26:45,ST061934,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, хочу изучать информацию",,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,"Интересно, хочу изучать информацию",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,Не интересно,,Не интересно,Не интересно,Не интересно,Не интересно,"Хотел бы писать полезные людям приложения под iOS, MacOS, AppleWatch и под остальные девайсы Apple. Под полезными подразумеваю: помощь в жизни, продуктивности, в лайф-стайле и тд. Не уверен что сверху мог где-то это отметить.","Работаю над приложением под iOS (под айфоны). Суть приложения в том, чтобы помочь пользователю избавиться от привычки/зависимости. Старые привычки/зависимости обычно никуда не деваются: нейронные пути в мозгу закреплены, а значит, чтобы отвести внимание мозга от этих привычек/зависимостей необходимо создать новые нейронные пути, которые будут соревноваться со старыми ""плохими"", тем самым, если новые нейронные пути (полезные привычки) закрепятся на ура в мозгу человека и будут вырабатывать достаточное количество дофамина, т.е. будут достаточно мотивирующие награды за них, то старые ""плохие"" нейронные пути будут ослабевать (не будут так легко все вместе зажигаться при виде триггера), а происходить это будет потому, что уже в ""новых"" привычках человек получает нужную награду, мозг не будут так интенсивно охотиться за наградой за ""плохую"" привычку, когда уже получил её от ""хорошей"" привычки. Это вполне возможно, так как было доказано многочисленно, что мозг пластичен, т.е. он способен перестраиваться, меняться, способен производить реорганизацию нейронов в ответ на то, что человека делает, думает, любит и тд. И есть также вторая часть приложения, которая отвечает за обработку триггеров, которые ведут к этим ""плохим"" привычкам. Обычно цикл таков: триггер -> действие -> награда. Переписав вот это <действие> в цикле, мы получим совершенно другой нейронный путь. Опять же, суть в том, чтобы не топтать старые нейронные пути, а создавать полезные новые. Допустим имеем привычку/зависимость: алкоголизм. Не знаю насколько это привычка или зависимость, но просто для примера. Представим ситуацию где на человека наорал начальник и выдал штраф непонятно за что, что человек даже не совершал. Триггером в этом случае будет ""начальник ведет себя как мудак и просто так орет на меня"", действие в данном случае будет ""пойти опьяниться в баре"", награда в этом случае временная ""стало легче, забыл об этом, пошел домой"", а дома в итоге возможно завел скандал и поссорился с семьей. Наше приложение в этом случае будет вмешиваться в этот цикл, задавая вопрос пользователю что за триггер:  ""начальник наорал на работе и выдал штраф ни за что"", также будет спрашивать каков кратковременный план действий к этому триггеру: допустим, это ""сходить к другу, рассказать ему эту историю [друг соотвественно тоже посочувствует, что немало важно, и поддержит его], дальше поиграть с ним в плейстейшен"", награда в данном случае будет ""поддержка от друга, снял груз с себя, почувствовал облегчение (рассказав все что думал), и веселое времяпрепровождение играя в игры с другом"", в итоге пришел домой радостный и лег спать без скандалов, трезвый. Так же нужен долговременный план действия, то бишь надо как-то эту ситуацию решать: возможно, ""найти другую работу"", ""спросить, наконец, какого черта происходит и почему на меня вешают штраф ни за что"". Так же, на основе того, когда пользователь обычно поддается привычке/зависимости, если он это указал в приложении, будет подбираться в примерно это время подбадривающие уведомления, которые помогут ему не поддаваться привычкам/зависимостям. 

Вот эти две главные вещи: ""новые"" полезные привычки и обработка триггеров; мы будем усиливать и улучшать в приложении, поскольку считаю, что именно они в большей степени будут влиять на развитие мозга. Я мог описать все слишком ""сказочно"" и где-то, возможно, я не прав тут,  но пока других планов нет, если не узнаю что-то другого.

Изначально над этим работал я, т.е. изучал всё по теме, писал код и делал интерфейс, потом решил, что мне нужен дизайнер, чтобы не брать все на себя, и вот сейчас с другом делаем.",2 - Изучал информацию и частично разобрался,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",0 - Не знаю,3 - Пробовал на практике в простых задачах,2 - Изучал информацию и частично разобрался,0 - Не знаю,0 - Не знаю,0 - Не знаю,,,"Swift  - 4
Objective-C - 4","Cocoa - 3
Cocoa Touch - 3",,"xCode - 5
Git - 3",,,Trello - 4,4 - Постоянно применяю в работе и хорошо знаю теорию,3 - Искал доп информацию и пытался прокачаться,4 - Постоянно применяю в работе и хорошо знаю теорию,4 - Постоянно применяю в работе и хорошо знаю теорию,"1 - Слышал, но не применял","1 - Слышал, но не применял",,Нормально,Нормально,Нормально,Хорошо,,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,Да,Советы и помощь специалистов в конкретном предмете. В моем случае нейробиологов.
